n,F(n),iterative_ns,recursive_ns
10,55,3192.0,7714.0
20,6765,4619.0,16776.0
30,832040,6964.0,19489.0
40,102334155,7592.0,23732.0
45,1134903170,8432.0,26872.0
41,165580141,7519.0,24984.0
8,21,1955.0,13210.0
2,1,3901.0,1759.0
18,2584,7515.0,12122.0
16,987,3782.0,9786.0
15,610,3089.0,8961.0
9,34,2157.0,5441.0
7,13,1794.0,3864.0
44,701408733,8574.0,32071.0
35,9227465,6631.0,21464.0
6,8,2191.0,3384.0
38,39088169,7336.0,24979.0
28,317811,5953.0,18427.0
3,2,1201.0,1638.0
2,1,1034.0,1071.0
6,8,1668.0,3768.0
14,377,2885.0,8188.0
15,610,3005.0,8748.0
33,3524578,6490.0,19625.0
39,63245986,7092.0,23367.0
2,1,1035.0,1066.0
36,14930352,6974.0,26717.0
13,233,3964.0,9766.0
42,267914296,9219.0,28242.0
45,1134903170,8715.0,31131.0
35,9227465,6843.0,20918.0
27,196418,5052.0,20483.0
15,610,3085.0,9726.0
29,514229,9324.0,22427.0
38,39088169,9137.0,23230.0
18,2584,3576.0,10540.0
1,1,974.0,574.0
11,89,2750.0,6073.0
45,1134903170,8455.0,26955.0
28,317811,5236.0,19741.0
22,17711,4805.0,13023.0
18,2584,3861.0,12022.0
10,55,2261.0,5986.0
14,377,2984.0,8808.0
22,17711,5108.0,13897.0
7,13,1825.0,3933.0
6,8,2117.0,3370.0
25,75025,4793.0,15016.0
7,13,1791.0,3876.0
23,28657,4828.0,13394.0
23,28657,4850.0,13400.0
39,63245986,10514.0,31174.0
17,1597,6778.0,14595.0
3,2,2646.0,2670.0
30,832040,10331.0,18376.0
35,9227465,5363.0,16634.0
8,21,1783.0,3612.0
25,75025,3763.0,11518.0
6,8,1560.0,2721.0
36,14930352,5206.0,18296.0
19,4181,3390.0,8795.0
41,165580141,4840.0,15958.0
40,102334155,5030.0,20476.0
24,46368,3757.0,13540.0
37,24157817,5857.0,19190.0
13,233,2125.0,5664.0
5,5,1452.0,2206.0
3,2,935.0,1296.0
43,433494437,6466.0,20033.0
15,610,2369.0,6871.0
19,4181,5431.0,8613.0
6,8,1667.0,2648.0
15,610,2532.0,6951.0
7,13,1405.0,3924.0
25,75025,4242.0,9607.0
18,2584,2318.0,8475.0
30,832040,4629.0,13146.0
41,165580141,6572.0,16904.0
24,46368,3120.0,9391.0
11,89,1806.0,3957.0
24,46368,3061.0,9154.0
23,28657,2882.0,8819.0
14,377,2039.0,5049.0
43,433494437,5260.0,18966.0
18,2584,2617.0,6745.0
45,1134903170,5530.0,17701.0
44,701408733,5182.0,18225.0
42,267914296,8024.0,19389.0
5,5,1147.0,1846.0
39,63245986,5037.0,14905.0
41,165580141,5075.0,15556.0
11,89,1555.0,4171.0
35,9227465,4165.0,20157.0
16,987,4192.0,8902.0
11,89,1585.0,4237.0
30,832040,4257.0,11930.0
25,75025,3174.0,9999.0
18,2584,2665.0,9727.0
41,165580141,9382.0,20708.0
