base,exponent,growth_value,iterative_ns,recursive_ns
1.0844,5,1499.5037,953.0,691.0
1.0154,20,1357.5104,1541.0,900.0
1.0636,37,9790.3487,2468.0,1411.0
1.0929,29,13147.1722,2023.0,1170.0
1.0212,45,2570.3146,2856.0,1313.0
1.0374,26,2597.7798,2031.0,1012.0
1.0948,33,19863.1457,2293.0,1036.0
1.0586,29,5214.6456,2018.0,1170.0
1.0172,3,1052.4926,628.0,466.0
1.09,48,62585.237,3180.0,1032.0
1.039,17,1916.3036,1398.0,901.0
1.0123,15,1201.2643,1300.0,995.0
1.0966,37,30323.8917,3047.0,1282.0
1.0628,2,1129.5438,672.0,342.0
1.1,44,66264.0761,4912.0,2007.0
1.0839,37,19706.1145,4588.0,1527.0
1.0136,49,1938.4897,3087.0,1172.0
1.0258,34,2377.5607,2379.0,1051.0
1.0686,18,3301.2093,1637.0,893.0
1.0263,38,2681.7883,2492.0,1179.0
1.0492,32,4650.1292,2282.0,921.0
1.0972,31,17736.1669,2630.0,1280.0
1.0413,22,2435.9541,1662.0,1025.0
1.0389,7,1306.2197,876.0,748.0
1.0872,22,6292.276,1739.0,1206.0
1.047,32,4348.0428,2249.0,904.0
1.0359,26,2501.8638,1870.0,1022.0
1.0832,36,17762.8009,2395.0,1031.0
1.0133,6,1082.5009,968.0,617.0
1.0383,21,2201.8105,1603.0,1019.0
1.0204,50,2744.8745,3242.0,1297.0
1.0464,33,4467.0943,2856.0,1084.0
1.0842,1,1084.2,554.0,284.0
1.0692,35,10400.7164,2868.0,1378.0
1.0516,4,1222.932,795.0,503.0
1.0269,24,1890.931,2124.0,911.0
1.066,32,7730.9088,2466.0,918.0
1.0663,49,23232.2382,4392.0,1199.0
1.0146,18,1298.0979,1612.0,1098.0
1.0594,19,2993.2253,2290.0,1039.0
1.0494,45,8756.8456,3098.0,1330.0
1.0536,2,1110.073,571.0,335.0
1.0976,39,37785.0356,2522.0,1290.0
1.0819,46,37377.2682,3129.0,1287.0
1.0243,36,2373.4398,2376.0,1034.0
1.0112,27,1350.8298,1915.0,1162.0
1.0184,8,1157.0367,958.0,768.0
1.0515,8,1494.4253,937.0,619.0
1.0683,10,1936.1201,1019.0,763.0
1.0549,46,11687.4414,2911.0,1285.0
1.0363,46,5156.2375,3089.0,1294.0
1.0346,31,2870.4283,2128.0,1274.0
1.0982,16,4476.1335,1359.0,756.0
1.0511,10,1646.0399,1018.0,757.0
1.0445,39,5462.9764,2678.0,1297.0
1.0557,9,1628.7885,988.0,741.0
1.0878,18,4548.6548,1449.0,888.0
1.0795,27,7888.8093,1965.0,1293.0
1.0406,33,3718.4857,2255.0,1033.0
1.034,1,1034.0,508.0,193.0
1.0355,20,2009.1024,1551.0,895.0
1.0854,38,22511.9469,2634.0,1176.0
1.0999,32,21052.4413,2200.0,883.0
1.0879,29,11510.1326,2026.0,1168.0
1.0585,23,3697.3438,1756.0,1282.0
1.0399,49,6801.228,3091.0,1169.0
1.0589,30,5567.349,2072.0,1128.0
1.094,13,3215.3273,1183.0,1031.0
1.0983,16,4482.6594,1364.0,757.0
1.0615,15,2447.9355,1306.0,998.0
1.087,27,9510.3761,1914.0,1166.0
1.0139,48,1939.84,3225.0,1033.0
1.0526,25,3602.3354,1847.0,1036.0
1.0447,43,6555.9944,2737.0,1318.0
1.0813,42,26652.6579,2825.0,1160.0
1.0983,32,20094.2349,2587.0,886.0
1.0968,9,2296.9259,986.0,798.0
1.0552,38,7704.0969,2633.0,1173.0
1.0399,7,1315.0463,864.0,732.0
1.0887,29,11758.1356,2018.0,1172.0
1.019,30,1758.8367,2077.0,1266.0
1.0114,10,1120.0296,1027.0,758.0
1.0469,42,6855.1726,2722.0,1168.0
1.0973,5,1590.8414,750.0,616.0
1.0523,17,2378.8809,1454.0,1037.0
1.0405,45,5968.8932,2903.0,3374.0
1.0458,6,1308.2533,2788.0,1445.0
1.0867,44,38799.4305,5593.0,1939.0
1.0873,25,8104.6581,3841.0,1630.0
1.0959,41,42717.714,4846.0,1797.0
1.0747,49,34125.1992,3423.0,1179.0
1.0539,35,6280.2822,2395.0,1216.0
1.0132,5,1067.7656,778.0,644.0
1.0311,44,3847.9961,3207.0,1196.0
1.0929,15,3790.5863,1333.0,987.0
1.0772,28,8022.277,1979.0,1198.0
1.0981,49,98051.1486,3074.0,1167.0
1.067,7,1574.53,865.0,741.0
1.0499,45,8946.5812,2861.0,1467.0
1.037,2,1075.369,570.0,337.0
1.0141,4,1057.6041,704.0,483.0
1.0364,24,2358.6185,1818.0,892.0
1.0488,16,2143.2995,1360.0,756.0
1.0578,37,7997.087,2449.0,1297.0
1.0714,12,2287.8087,1139.0,763.0
1.0253,6,1161.7314,808.0,612.0
1.0649,25,4816.3792,1823.0,1038.0
1.0658,16,2772.1164,1361.0,750.0
1.0548,38,7593.8953,2639.0,1219.0
1.0229,30,1972.4017,2082.0,1132.0
1.0674,30,7076.4583,2078.0,1131.0
1.033,1,1033.0,509.0,192.0
1.0909,30,13600.2926,2074.0,1130.0
1.0911,44,46349.0091,2810.0,1193.0
1.0592,5,1333.1833,749.0,611.0
1.0498,23,3058.0957,1857.0,1137.0
1.0989,20,6594.2205,1596.0,896.0
1.0675,28,6227.3137,1970.0,1043.0
1.0721,30,8073.4448,2240.0,1127.0
1.0861,13,2926.2241,1185.0,890.0
1.0999,31,19140.323,2126.0,1262.0
1.0196,25,1624.5971,1824.0,1039.0
1.0615,37,9099.9697,2600.0,1200.0
1.0366,45,5040.855,2857.0,1319.0
1.0366,43,4691.1767,2891.0,1319.0
1.0456,1,1045.6,509.0,193.0
1.0609,44,13479.5618,2807.0,1195.0
1.08,4,1360.489,701.0,485.0
1.092,48,68341.836,3172.0,1029.0
1.0547,19,2750.7427,2130.0,1026.0
1.0798,15,3163.3689,1310.0,993.0
1.0646,23,4219.7685,1706.0,1283.0
1.0297,13,1462.983,1192.0,887.0
1.0659,44,16577.7023,2810.0,1186.0
1.078,50,42750.1893,3252.0,1986.0
1.0693,9,1827.6629,1488.0,1032.0
1.0665,41,14008.6167,8844.0,2254.0
1.0682,20,3741.5493,2170.0,1259.0
1.081,3,1263.2144,944.0,700.0
1.0622,47,17048.8843,5878.0,1600.0
1.0218,19,1506.4408,2097.0,1037.0
1.0394,27,2838.7898,2675.0,1285.0
1.0258,9,1257.6629,1014.0,769.0
1.0808,24,6454.8784,1879.0,923.0
1.0578,18,2749.5659,1518.0,1125.0
1.0847,17,3983.4914,1410.0,906.0
1.0923,31,15438.3166,2134.0,1270.0
1.0971,19,5816.719,1522.0,1020.0
1.0772,22,5134.7533,1815.0,1016.0
1.0824,30,10755.5719,2135.0,1128.0
1.0967,10,2516.9723,1021.0,760.0
1.0779,15,3080.8963,1308.0,997.0
1.0874,47,51321.3944,3122.0,1415.0
1.0707,26,5906.9442,1883.0,1015.0
1.0971,36,28110.1875,2409.0,1164.0
1.0429,26,2980.6388,1879.0,1070.0
1.0113,35,1481.8364,2333.0,1176.0
1.0211,24,1650.5878,1795.0,892.0
1.0706,44,20118.6353,3530.0,1203.0
1.0336,25,2284.6123,1868.0,1041.0
1.084,24,6929.5139,1819.0,1092.0
1.0198,15,1341.9153,1316.0,998.0
1.0524,40,7713.182,2659.0,1030.0
1.0896,36,21959.1439,2404.0,1034.0
1.0395,40,4709.5536,2733.0,1027.0
1.0299,5,1158.7114,753.0,617.0
1.0672,30,7036.7885,2079.0,1135.0
1.0918,20,5792.4434,1545.0,1036.0
1.0684,8,1697.7394,947.0,613.0
1.0226,3,1069.3438,674.0,464.0
1.0374,32,3238.022,2211.0,886.0
1.0205,16,1383.5923,1360.0,758.0
1.0899,9,2170.1006,987.0,884.0
1.045,24,2876.0138,1792.0,895.0
1.0703,48,26077.456,3015.0,1028.0
1.0727,35,11661.1081,2322.0,1312.0
1.0477,48,9362.1007,3072.0,1034.0
1.0754,27,7118.539,1911.0,1161.0
1.0689,32,8433.0848,2957.0,890.0
1.0654,18,3127.7243,1453.0,896.0
1.0129,24,1360.1841,1792.0,889.0
1.0296,29,2330.1693,2022.0,1294.0
1.0955,24,8926.828,1799.0,940.0
1.0189,44,2279.2331,2841.0,1191.0
1.0431,42,5884.2309,2871.0,1163.0
1.0423,26,2936.3727,1908.0,1018.0
1.0348,8,1314.7748,933.0,620.0
1.0954,30,15387.9972,2104.0,1142.0
1.0183,14,1289.0222,1476.0,2017.0
1.0678,39,12915.3668,4351.0,2642.0
1.0974,4,1450.3066,1807.0,699.0
1.0808,16,3466.7728,2306.0,1176.0
1.099,37,32878.6986,4709.0,1598.0
1.0285,49,3962.8762,4055.0,1208.0
1.0599,38,9121.4924,3135.0,1282.0
1.0294,15,1544.4095,1622.0,1485.0
1.0396,10,1474.5609,1563.0,1011.0
1.081,39,20854.6096,4127.0,1322.0
1.0103,10,1107.9076,1035.0,866.0
1.0989,35,27135.39,2431.0,1700.0
1.0326,12,1469.5537,1204.0,1004.0
1.0199,2,1040.196,581.0,339.0
1.0219,23,1645.8611,1746.0,1142.0
1.0811,16,3482.2013,1387.0,776.0
1.063,2,1129.969,591.0,338.0
1.0257,4,1106.8313,935.0,485.0
1.0214,27,1771.2834,1940.0,1175.0
1.0573,48,14504.9136,3121.0,1042.0
1.0157,29,1571.0794,2195.0,1169.0
1.08,33,12676.0496,2246.0,1027.0
1.0634,29,5945.7004,2020.0,1170.0
1.0553,40,8610.6815,2770.0,1032.0
